Time in ms,X in mm,Y in mm,Z in mm
0.0,258.38,313.79,481.86
29.62685,257.95,313.69,483.6
61.08451,256.71,314.25,481.29
84.9371,255.09,314.38,479.0
107.42688,254.61,314.24,481.28
134.68409,252.57,314.79,479.0
165.02762,252.0,313.71,483.32
195.50467,249.2,314.75,479.57
224.64561,247.9,314.72,480.14
250.26655,247.04,315.14,480.42
276.19457,246.24,315.58,479.84
300.62008,246.45,315.39,483.89
325.96874,246.05,315.42,483.32
349.09177,246.0,315.37,484.49
382.25436,246.08,315.03,482.72
407.58228,245.66,315.01,483.01
434.34453,245.65,315.02,482.45
462.40163,245.98,315.36,484.48
489.33458,245.95,314.89,485.08
514.48798,245.71,315.51,481.28
538.93948,246.15,315.49,481.58
565.41157,246.11,315.48,482.15
590.93618,244.79,315.0,483.03
624.80831,247.5,315.16,479.84
651.35407,249.89,314.59,482.74
675.43149,251.16,314.59,483.02
699.02396,252.41,314.55,483.31
726.04895,252.92,314.69,480.71
751.45268,253.78,314.69,480.71
782.28545,254.62,314.72,480.13
809.55458,255.41,314.2,482.15
836.54118,256.63,314.04,485.07
864.96258,256.72,314.25,481.28
893.13698,257.94,314.1,484.19
924.8879,258.38,314.17,482.74
949.22733,258.81,313.75,482.44
974.28107,258.85,313.9,479.84
1003.23796,259.23,313.35,482.14
1030.78508,259.24,313.81,481.58
1064.69941,259.25,314.26,481.0
1092.16857,259.23,314.18,482.45
1119.03691,258.79,313.73,483.03
1146.59262,257.93,313.71,483.32
1172.92428,255.91,314.35,479.28
1201.94411,254.6,314.67,481.0
1228.3864,252.99,314.74,479.57
1254.46653,252.8,314.09,484.2
1282.33838,251.97,313.69,483.62
1306.76293,251.11,314.09,483.91
1335.30188,250.01,314.74,479.86
1360.73637,249.92,314.61,482.45
1388.12566,248.35,315.17,479.57
1420.44759,246.69,315.2,479.28
1451.58982,245.38,315.14,480.14
1489.53176,246.08,315.44,482.74
1515.43736,245.57,314.93,484.48
1540.344,242.73,315.05,481.87
1564.64005,244.51,315.13,480.44
1587.39114,243.15,315.04,482.15
1615.3338,243.59,315.05,482.17
1641.31093,245.62,314.96,483.32
1665.33923,246.43,315.37,484.2
1689.79144,244.81,315.0,483.03
1723.88721,248.21,315.03,482.43
1748.70944,248.78,314.76,479.84
1776.19815,250.72,314.56,483.32
1798.77257,251.6,314.59,483.02
1824.54348,252.43,315.01,483.02
1850.02708,253.26,314.57,483.31
1880.79476,253.38,314.72,480.42
1906.42977,253.45,314.83,477.86
1934.60464,254.67,314.34,479.55
1957.40843,255.88,314.7,480.41
1986.1052,257.1,314.18,482.17
2011.00588,258.37,314.13,483.89
2041.69083,258.82,314.22,481.87
2069.2215,259.26,313.84,480.99
2094.59901,259.7,313.89,479.85
2119.48752,259.68,313.89,479.59
2143.68582,260.07,313.78,482.16
2167.6209,259.69,313.86,480.43
2191.04838,259.29,313.46,480.14
2218.06645,258.86,313.89,480.13
2241.50467,258.39,314.19,482.43
2267.55667,257.95,314.16,483.01
2290.94481,257.47,313.61,485.36
2318.44902,255.88,313.83,481.28
2343.93191,254.94,313.68,483.9
2367.67125,253.0,314.33,479.28
2391.17551,252.45,314.62,482.16
2414.88504,251.6,314.6,482.72
2440.39583,250.34,314.59,482.72
2465.62791,248.76,315.17,479.84
2498.62671,247.84,315.1,481.01
2536.33642,246.24,315.16,479.85
2563.17854,246.35,315.31,485.66
2594.33627,246.07,315.44,482.73
2622.62011,244.55,315.17,479.59
2647.97211,244.94,315.12,480.7
2673.59829,243.57,315.05,481.88
2698.34185,244.95,315.56,480.43
2723.86003,245.55,315.33,484.77
2748.25954,246.0,315.37,484.2
2774.28269,246.19,315.52,480.99
2799.45612,246.26,315.18,479.29
2823.9665,247.88,315.11,480.44
2848.44828,249.17,315.15,480.14
2876.61481,250.72,314.55,483.32
2902.61602,251.98,314.57,483.03
2931.84662,252.88,314.6,482.45
2958.01282,252.96,314.76,479.56
2982.67651,253.68,314.13,483.32
3006.06465,254.2,314.25,480.99
3032.45997,254.25,314.36,478.99
3058.24852,255.47,314.31,479.85
3081.90584,258.79,314.57,483.32
3107.47933,257.92,314.07,484.49
3133.06212,258.4,313.8,481.57
3159.71971,259.23,313.77,482.44
3182.95455,259.25,313.45,480.15
3208.43267,259.69,313.94,479.0
3232.75399,259.71,313.93,478.99
3261.03759,259.7,313.86,480.41
3285.05707,259.66,313.83,481.01
3311.23137,259.66,313.32,482.72
3337.22329,259.19,313.65,484.48
3360.82649,258.34,314.07,484.48
3383.80766,257.49,314.07,484.77
3410.09426,255.09,314.38,478.72
3436.28573,254.23,313.9,479.86
3458.51183,252.98,314.34,479.56
3486.28759,252.37,314.06,484.78
3510.81038,251.5,314.47,485.36
3537.21189,250.4,314.26,481.0
3560.18496,248.83,315.23,478.16
3586.02047,248.8,314.78,478.72
3608.26468,248.37,315.19,479.0
3634.84073,248.21,315.01,482.45
3660.39944,246.67,315.18,479.27
3684.33666,244.79,314.99,483.32
3707.77392,246.17,315.53,480.71
3735.22472,246.02,314.97,483.89
3761.95478,245.64,315.0,483.02
3789.37459,244.96,315.15,480.13
3816.96343,244.91,315.11,481.01
3841.25495,245.61,314.98,483.32
3866.68468,245.6,314.95,483.89
3890.09929,245.63,315.41,483.6
3916.87465,246.12,315.49,482.14
3942.52253,246.53,315.46,482.43
3967.62228,246.31,314.8,478.43
3993.83974,248.36,314.79,479.0
4016.65187,251.16,315.02,482.74
4044.07501,252.5,314.66,481.58
4068.12024,253.4,314.77,479.56
4093.28699,254.64,314.31,479.85
4119.98177,256.34,314.71,480.42
4145.94793,257.92,314.52,484.19
4169.52205,257.93,314.14,483.02
4195.08791,258.79,313.7,483.3
4219.99741,259.2,313.68,483.9
4244.43626,258.79,313.79,481.87
4267.68255,258.81,314.24,481.58
4290.82203,258.43,314.74,479.29
4323.80462,258.85,313.91,479.29
4345.41082,259.22,313.32,482.44
4372.95604,258.8,313.36,481.88
4397.90463,258.81,313.75,482.44
4427.52481,258.79,314.13,483.31
4453.05014,258.8,314.15,482.74
4480.721,258.8,313.72,483.03
4508.71205,258.38,313.3,483.01
4541.8601,256.71,314.25,481.28
4568.25423,254.67,314.35,479.0
4598.94419,252.59,314.8,478.15
4626.77169,252.42,314.14,483.31
4653.42093,250.67,314.07,484.48
4678.442,248.78,314.77,479.28
4706.2912,247.53,314.74,479.55
4735.68821,247.03,315.12,480.71
4764.70256,245.85,315.63,478.99
4792.23061,246.92,315.43,482.73
4820.62531,246.08,315.02,482.74
4847.49126,245.7,315.46,482.15
4876.12939,246.03,315.38,483.9
4901.81231,246.05,315.39,483.61
4931.29134,245.99,315.37,484.2
4957.85975,246.16,315.51,481.28
4987.34283,246.06,315.03,482.74
5018.87059,246.18,315.12,480.71
5043.8323,245.27,315.05,482.14
5074.75352,248.31,315.14,480.15
5099.72525,250.3,314.56,483.31
5125.22101,251.56,314.14,483.31
5149.02759,252.85,314.15,483.31
5178.20644,253.75,314.24,481.28
5200.81997,254.23,314.76,479.28
5232.44143,255.46,314.3,480.42
5256.6936,256.27,314.25,481.01
5282.2578,257.5,313.68,483.89
5307.34992,257.97,313.33,482.73
5337.00681,258.37,314.15,483.02
5362.70428,258.79,314.56,483.3
5387.05683,258.81,314.19,482.16
5412.61983,259.23,313.77,482.17
5435.85992,259.24,313.78,482.14
5465.44528,259.23,313.78,481.87
5497.85352,258.86,314.31,479.84
5531.78954,259.23,314.6,482.43
5556.4959,258.84,313.88,480.13
5587.93211,258.81,313.34,482.44
5624.68791,257.96,313.78,482.15
5648.79894,257.06,314.09,483.9
5674.34359,255.5,314.33,479.56
5698.90046,253.84,314.82,478.14
5723.4745,253.37,314.29,480.71
5749.99785,252.48,314.22,481.86
5775.31433,251.22,313.8,481.57
5801.62287,249.96,314.68,481.29
5829.94866,247.97,315.2,479.28
5860.33416,246.64,315.14,480.13
5884.28974,244.32,314.98,483.6
5915.82894,246.14,315.48,481.86
5942.02733,246.16,315.49,481.57
5966.59994,245.74,315.51,481.28
5989.85028,246.02,315.39,483.89
6015.5468,245.69,315.05,482.15
6042.14191,245.7,315.49,481.86
6069.53478,246.08,315.42,483.02
6095.14999,246.08,315.44,482.74
6119.38214,246.36,315.32,485.37
6149.27101,246.19,315.53,480.7
6177.66261,246.61,315.14,480.42
6201.09034,247.82,315.05,481.87
6234.34758,249.86,314.56,483.31
6267.93766,251.56,314.57,483.03
6297.99962,252.87,314.61,482.45
6326.47085,253.78,314.71,480.71
6355.51143,254.64,314.71,480.41
6383.91209,255.89,314.3,480.15
6411.58032,260.08,314.21,481.87
6440.98163,257.94,313.71,483.32
6470.80612,258.4,314.26,480.99
6498.08073,258.8,314.22,481.85
