Time in ms,X in mm,Y in mm,Z in mm
0.0,247.45,315.12,480.7
32.12881,247.49,314.72,480.13
58.81953,247.49,314.7,480.14
88.97638,247.11,315.2,479.28
113.24668,247.11,314.76,479.29
143.28074,247.48,315.14,480.43
166.33248,248.15,314.98,483.62
191.86759,247.84,315.09,481.01
215.63268,247.85,315.52,481.29
244.45415,247.83,315.92,481.58
265.81764,247.78,316.29,482.73
290.81726,248.19,316.71,482.72
324.69273,248.12,318.77,484.2
352.24724,248.21,319.7,482.44
379.22573,248.21,320.54,483.01
404.89626,248.27,322.28,481.28
435.25934,247.98,323.63,478.15
465.5447,248.01,324.06,477.58
495.80503,248.21,323.95,482.44
527.94504,247.54,324.46,478.72
553.10655,248.23,325.24,481.59
584.52344,248.29,325.68,480.71
614.26187,247.6,326.15,477.86
645.28465,248.02,325.75,477.85
676.08118,247.61,325.75,477.57
710.36553,247.11,326.13,479.0
742.8174,247.59,325.73,477.87
769.06776,247.56,325.72,478.43
797.54615,248.01,324.49,477.58
829.99182,247.55,323.62,478.7
858.89101,248.24,323.12,481.87
891.30187,247.9,322.75,479.86
920.10212,247.97,321.95,478.71
946.87963,248.25,320.16,481.29
981.20403,248.25,318.46,481.57
1011.92164,248.65,316.73,482.16
1043.22481,248.56,316.66,483.89
1067.20591,248.56,316.66,483.91
1098.05417,248.16,316.23,483.89
1126.34397,247.83,315.08,481.29
1154.0339,247.85,313.82,481.28
1185.41741,247.45,313.84,480.7
1223.70028,247.47,314.72,480.14
1250.23437,247.46,314.71,480.15
1281.92258,247.47,314.27,480.7
1308.24542,247.5,314.32,479.85
1334.77116,247.13,314.78,478.99
1359.46679,247.91,315.13,480.42
1383.71205,247.84,315.47,482.15
1411.19862,247.46,315.95,480.72
1436.15294,248.06,316.59,485.38
1460.85191,248.57,316.68,483.61
1483.21867,248.24,317.18,481.85
1508.62026,248.14,318.78,484.19
1531.66032,248.23,320.12,482.44
1565.24444,247.87,321.88,480.44
1593.35303,248.27,323.56,481.0
1616.26315,247.96,323.62,478.99
1641.50953,248.25,323.97,481.58
1668.8118,247.94,324.45,479.29
1694.61846,248.05,324.92,477.02
1731.19903,248.06,324.91,477.01
1758.94356,247.5,324.44,479.29
1781.65317,248.27,324.84,481.29
1807.73449,247.95,325.29,479.0
1831.98833,247.96,325.72,478.7
1858.08492,248.26,326.08,481.29
1885.26487,247.57,326.14,477.86
1910.19821,247.6,325.74,477.58
1944.64898,247.95,325.71,478.99
1968.89687,247.99,325.31,478.15
1994.73119,247.53,324.87,478.73
2024.09267,248.22,323.53,482.16
2060.92763,248.16,321.36,483.32
2085.88839,247.95,319.4,478.99
2110.83317,248.62,318.41,482.74
2137.93445,248.71,318.49,480.99
2162.36997,248.23,318.44,482.15
2185.7686,248.68,318.46,481.57
2211.28893,248.17,317.54,483.6
2237.40888,248.59,316.67,483.9
2263.30853,248.16,316.68,483.61
2290.08484,247.55,315.62,478.99
2313.62534,247.91,315.16,480.14
2336.29155,247.52,314.75,479.84
2362.45871,247.44,313.83,480.71
2393.77475,247.47,313.46,479.85
2414.61849,247.49,313.88,480.13
2443.20178,247.47,313.87,480.15
2467.46421,247.14,314.8,478.42
2490.62705,247.5,315.16,479.84
2514.57763,247.83,315.52,481.28
2537.61339,247.47,315.56,480.13
2562.08158,247.89,315.98,480.43
2587.13627,248.16,316.23,483.89
2610.86392,248.61,316.71,483.02
2632.025,248.64,318.02,482.43
2657.32431,248.66,318.85,482.15
2683.27999,247.88,320.2,480.42
2711.83109,248.16,321.37,483.6
2741.5266,247.59,322.38,477.86
2765.56468,248.0,323.62,477.88
2791.43071,248.0,324.47,478.13
2815.63711,248.05,324.92,477.02
2843.86826,248.32,325.26,480.43
2865.94796,247.94,325.28,479.29
2891.17694,247.59,325.75,477.85
2916.53705,247.55,325.3,478.44
2942.05761,247.96,325.72,478.42
2966.04443,247.61,325.75,477.86
2993.44635,248.03,325.73,477.31
3020.87855,247.16,326.16,478.13
3046.13972,247.95,325.72,478.99
3073.80915,248.0,325.74,478.14
3100.86393,247.57,324.47,478.43
3128.11446,247.98,323.62,478.71
3150.76351,248.27,322.72,481.27
3177.92368,248.22,320.54,482.43
3203.67527,248.24,318.88,481.58
3229.79283,248.67,318.87,482.15
3252.25067,248.58,317.52,483.62
3278.07951,248.65,317.15,482.44
3301.14722,248.16,316.7,483.31
3327.24404,247.87,316.4,480.42
3348.88911,247.51,315.58,479.57
3378.6118,247.84,315.08,481.3
3404.02603,247.14,314.81,478.44
3427.99973,247.07,314.72,480.13
3454.36025,247.8,313.78,481.87
3479.45857,247.79,313.78,482.15
3503.95632,247.87,313.85,480.72
3527.65322,247.5,314.3,479.85
3552.62136,247.14,314.82,478.43
3577.42047,247.45,315.12,480.43
3600.60191,247.48,314.73,479.86
3628.9525,247.83,315.51,481.3
3652.65131,247.93,316.4,480.13
3678.46465,248.12,316.63,484.48
3707.17788,247.87,317.63,481.0
3731.40526,248.61,318.82,483.31
3759.30238,247.91,319.38,479.85
3786.70645,248.17,320.1,483.3
3810.63557,248.26,320.57,482.13
3834.65123,247.83,321.85,481.3
3865.87238,248.24,322.27,481.87
3903.14317,248.68,323.11,481.3
3928.8609,248.24,323.54,482.15
3953.40443,247.55,324.47,478.43
3977.73457,247.96,325.31,478.43
4003.09157,248.31,325.27,480.13
4029.181,247.58,326.16,478.42
4055.71413,248.01,326.15,478.15
4084.50413,248.01,326.15,478.15
4111.56416,247.05,326.1,479.86
4137.55441,247.97,326.14,478.72
4165.18927,248.04,325.74,477.03
4193.22848,247.98,325.74,478.41
4215.36303,247.56,324.89,478.42
4241.93287,247.58,323.64,478.14
4264.25767,247.91,323.59,479.85
4289.41751,248.54,322.61,484.49
4314.04662,248.18,320.96,482.74
4342.1433,248.17,319.67,483.31
4365.13424,248.67,318.88,481.58
4391.42275,248.66,318.44,481.86
4414.8922,247.92,317.27,479.84
4440.38391,248.58,316.68,483.61
4464.98489,248.65,316.74,482.15
4491.64534,248.1,316.19,484.78
4515.85221,247.85,316.37,480.72
4541.85104,247.88,315.53,480.71
4565.40275,247.81,314.63,482.14
4592.16261,247.15,314.39,478.44
4619.08698,247.83,313.79,481.3
4646.10243,247.46,313.88,480.42
4669.3356,247.85,313.81,481.28
4694.74721,247.85,314.24,481.57
4716.62211,247.11,314.78,479.0
4741.98437,247.79,315.05,481.88
4765.70058,247.86,315.54,480.43
4791.05115,247.48,315.58,479.86
4814.41641,247.9,315.58,479.86
4840.45076,248.13,316.65,484.2
4867.80763,248.17,317.11,483.6
4893.55183,248.1,318.74,484.78
4929.41117,248.17,320.11,483.31
4953.02844,248.21,321.4,482.44
4978.25456,248.69,322.69,481.29
5003.35407,248.18,323.51,482.73
5029.2213,248.01,324.47,477.59
5053.19118,247.65,325.75,477.01
5079.70786,248.25,325.24,481.58
5104.02846,248.07,325.75,476.74
5128.86858,247.97,325.71,478.71
5154.79326,248.6,325.62,483.6
5177.97446,247.93,325.7,479.84
5202.65508,247.62,325.73,477.31
5227.39983,248.04,325.75,477.56
5249.06898,247.6,325.75,477.85
5275.59662,247.99,325.73,478.42
5298.21467,247.99,325.72,478.43
5324.3885,247.99,325.31,478.42
5349.54071,248.0,325.31,477.86
5375.77295,247.56,324.46,478.43
5400.54154,247.51,323.6,479.27
5430.72248,248.21,320.55,482.16
5459.88345,248.72,318.49,480.99
5483.86693,248.64,316.74,482.43
5511.84154,248.62,316.7,483.31
5541.39376,248.63,316.71,482.74
5566.13326,248.54,316.63,484.77
5590.97385,247.79,316.32,482.15
5616.49537,247.48,315.57,479.86
5640.81931,247.52,315.19,479.27
5665.11345,247.87,315.11,480.71
5691.59651,247.14,315.21,478.71
5714.746,247.45,314.27,480.43
5740.98253,247.5,313.88,479.85
5768.47649,247.47,313.86,480.42
5792.99736,247.48,313.88,480.14
5827.13437,246.68,315.19,479.29
5853.8022,247.48,315.56,479.86
5881.392,247.93,316.43,479.57
5910.14671,247.85,316.36,481.27
5934.34596,248.15,316.24,483.61
5957.97133,248.65,316.73,482.16
5982.34224,248.72,318.49,480.99
6007.75862,248.22,319.71,482.14
6031.50249,248.66,320.56,482.15
6058.38561,248.3,322.29,480.71
6081.80189,248.25,323.12,481.58
