Time in ms,X in mm,Y in mm,Z in mm
0.0,249.51,317.65,479.32
28.37157,249.52,317.23,479.6
55.68767,249.49,317.22,479.9
82.35073,249.86,317.59,481.34
115.94439,249.85,317.14,481.92
143.10741,249.16,317.7,478.18
168.3495,249.53,317.25,479.04
192.01684,249.47,317.2,480.19
215.6415,249.52,317.66,479.32
245.13936,249.51,317.64,479.33
271.30938,249.15,317.27,478.45
294.6558,249.9,317.62,480.19
322.68691,249.53,317.23,479.59
345.57581,249.52,317.65,479.88
373.8308,249.5,317.21,479.89
397.15099,249.51,317.64,479.9
423.53702,249.49,317.23,479.89
444.70143,249.51,317.21,479.88
470.11304,249.86,317.18,480.76
494.42029,249.51,317.66,479.32
517.33375,249.49,317.21,480.18
544.64364,249.56,317.7,479.03
567.40713,249.88,317.61,481.04
597.59736,249.49,317.22,479.9
624.82595,249.46,317.19,480.19
650.66791,249.51,317.22,479.89
677.60086,249.5,317.65,479.9
708.72259,249.51,317.65,479.9
732.68867,249.52,317.25,479.04
759.40228,249.52,317.24,479.32
791.68701,249.16,317.26,478.74
815.53173,249.5,317.22,479.88
840.62529,249.52,317.22,479.6
865.57913,249.52,317.24,479.33
893.13054,249.86,317.17,481.07
915.71307,249.49,317.21,480.17
943.05515,249.56,317.7,478.45
966.79854,249.54,317.26,479.31
996.76895,249.51,317.66,479.6
1027.44246,249.5,317.64,479.89
1056.01811,249.49,317.22,480.19
1080.74522,249.48,317.22,480.18
1108.99901,249.92,317.63,480.19
1133.56233,249.51,317.24,479.33
1163.80692,249.48,317.21,480.19
1188.7691,249.5,317.21,479.89
1215.5931,249.53,317.26,479.31
1241.16874,249.5,317.65,479.89
1265.62285,249.5,317.64,479.9
1298.40755,249.9,317.62,480.75
1325.55795,249.53,317.66,479.32
1349.88189,249.48,317.22,479.9
1385.46252,249.49,317.22,479.9
1413.31935,249.17,317.29,477.89
1441.97726,249.53,317.24,479.32
1472.71466,249.51,317.23,479.6
1496.92202,249.14,317.27,478.45
1521.48628,249.87,317.61,481.33
1544.28101,249.82,317.14,481.65
1569.73362,249.87,317.17,481.34
1593.44101,249.54,317.68,479.31
1618.1109,249.5,317.63,479.88
1643.18299,249.53,317.23,479.62
1667.7382,249.16,317.28,478.17
1692.39712,249.51,317.22,479.89
1715.14797,249.51,317.22,479.89
1739.11953,249.85,317.59,481.62
1761.84249,249.9,317.19,480.48
1788.28573,249.5,317.21,480.17
1811.92636,249.5,317.23,479.61
1837.84294,249.53,317.24,479.6
1861.26637,249.83,317.15,481.64
1888.88288,249.84,317.58,481.64
1913.01608,249.15,317.26,478.46
1939.96763,249.53,317.66,479.33
1964.42485,249.52,317.24,479.05
1991.74404,249.5,317.23,479.6
2014.4341,249.16,317.26,478.45
2040.72046,249.5,317.22,479.89
2063.79199,249.52,317.65,479.32
2090.74903,249.51,317.23,479.6
2114.74943,249.49,317.22,479.61
2141.958,249.5,317.23,479.89
2164.23821,249.51,317.23,479.61
2187.90698,249.54,317.69,479.03
2212.32128,249.48,317.22,479.9
2236.76014,249.48,317.21,480.18
2260.91075,249.52,317.23,479.89
2287.24837,249.17,317.28,478.45
2311.33604,249.49,317.22,479.89
2334.24067,249.49,317.23,479.89
2359.60317,249.87,317.17,481.34
2387.75039,249.16,317.29,478.16
2411.6087,249.51,317.23,479.61
2437.01124,249.5,317.21,479.9
2459.70535,249.51,317.65,479.89
2481.67205,249.49,317.22,479.89
2509.63473,249.51,317.22,479.89
2534.83248,249.51,317.65,479.61
2561.90062,249.5,317.64,479.89
2588.73248,249.51,317.67,479.33
2611.67789,249.5,317.21,479.9
2636.65509,249.52,317.24,479.61
2659.85751,249.52,317.23,479.61
2683.11667,249.5,317.22,479.61
2706.3539,249.88,317.6,481.33
2728.39332,249.85,317.17,481.34
2750.67806,249.47,317.62,480.47
2777.35639,249.51,317.65,479.89
2805.41134,249.2,317.3,477.6
2828.80163,249.51,317.25,479.33
2857.02014,249.53,317.66,479.32
2881.33764,249.5,317.22,479.62
2908.49996,249.11,317.25,479.03
2942.9481,249.5,317.21,479.89
2966.31908,249.51,317.22,479.89
2993.22176,249.14,317.26,478.74
3017.0691,249.49,317.21,479.9
3043.49279,249.52,317.23,479.61
3074.53322,249.18,317.7,478.17
3108.5763,249.56,317.69,478.46
3142.32969,249.51,317.23,479.61
3165.4799,249.52,317.23,479.6
3188.88283,249.49,317.21,479.89
3213.07898,249.13,317.27,478.47
3238.33537,249.5,317.22,479.62
3261.61528,249.49,317.21,480.18
3282.49478,249.51,317.24,479.61
3307.22117,249.5,317.22,479.9
3337.63766,249.88,317.61,480.77
3362.66851,249.52,317.23,479.6
